"Not a Smartsupp user yet?", "Ešte nie ste užívateľom Smartsupp?"
"Hide", "Skryť"
"Show", "Zobraziť"
"Settings", "Nastavenie"
"Yes", "Áno"
"No", "Nie"
"Enabled", "Povolené"
"Show chat box on website.", "Zobraziť chat na webe."
"Smartsupp key", "Smartsupp kľúč"
"Smartsupp key assigned to your account.","Smartsupp kľúč priradený k vašemu účtu."
"Optional API", "Voliteľné API"
"Advanced chat box modifications with Smartsupp API.", "Pokročilé úpravy chat boxu cez Smartsupp API."
"Customer info", "Zákaznícke info"
"Show info about your customers (name, email, spend etc.) in Smartsupp dashboard, where your agents can see it. You will find customer info in the right panel while chatting.", "Zobrazte si info o vašich zákazníkoch (meno, email, útrata) vo Smartsupp dashboardu, kde ho uvidia vaši operátori. Zákaznícke info nájdete v pravom paneli, keď chatujete."
"Customer's ID", "Zákaznícke ID"
"Shows customer's ID.", "Zobraziť identifikátor zákazníka."
"Customer's Name", "Meno a priezvisko"
"Shows customer's display name.", "Zobraziť meno a priezvisko zákazníka."
"Customer's Email", "Email"
"Shows customer's email.", "Zobraziť email zákazníka."
"Customer's Phone", "Telefónne číslo"
"Shows customer's phone.", "Zobraziť telefónne číslo zákazníka."
"Customer's Role", "Rola"
"Shows customer's role.", "Zobraziť rolu zákazníka (zákaznícku skupinu)."
"Customer's Orders", "Počet objednávok"
"Shows customer's orders amount.", "Zobraziť počet objednávok vytvorených zákazníkom."
"Customer's Spendings", "Objem objednávok"
"Shows customer's cumulative spendings.", "Zobraziť celkový finančný objem objednávok vytvorených zákazníkom."